Category,TfIdf(cosine),TfIdf(euclidean),LSA(cosine),LSA(euclidean),Doc2Vec(cosine),Doc2Vec(euclidean),BERT(cosine),BERT(euclidean)
talk.politics.misc,3.66667,2.66667,1.66667,3.33333,1.0,1.33333,3.66667,3.66667
talk.politics.guns,5.0,5.0,5.0,4.66667,4.0,2.0,5.0,5.0
rec.sport.baseball,3.33333,1.0,3.66667,4.0,4.66667,4.0,5.0,5.0
alt.atheism,2.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0
rec.autos,2.0,2.0,3.0,2.5,3.0,2.5,4.0,4.0
soc.religion.christian,4.0,4.0,5.0,2.66667,3.0,1.0,5.0,5.0
talk.politics.misc,2.0,1.66667,2.33333,3.0,2.66667,0.66667,2.0,1.0
talk.politics.mideast,1.33333,0.0,5.0,4.33333,4.33333,2.0,2.0,2.0
rec.sport.hockey,4.0,3.33333,4.66667,4.66667,5.0,2.66667,5.0,5.0
talk.politics.misc,1.33333,1.33333,2.66667,2.66667,3.0,2.0,2.66667,2.66667
rec.motorcycles,4.5,2.0,3.0,3.5,2.0,0.5,5.0,5.0
comp.sys.mac.hardware,2.5,2.25,2.0,2.0,1.75,2.0,4.0,4.0
misc.forsale,2.0,1.5,2.0,3.0,2.0,4.0,2.5,2.5
sci.space,3.0,1.5,4.0,5.0,4.0,2.0,5.0,5.0
comp.windows.x,0.0,0.0,3.0,2.33333,2.0,0.33333,2.33333,2.33333
comp.sys.ibm.pc.hardware,0.2,0.2,0.0,0.2,0.4,0.2,0.2,0.2
sci.electronics,2.0,0.0,2.5,2.5,3.5,1.5,4.0,4.0
sci.med,5.0,0.0,3.0,2.0,0.0,0.5,2.0,1.0
talk.politics.mideast,2.0,0.0,5.0,4.33333,4.66667,2.0,3.66667,3.66667
talk.religion.misc,2.33333,0.0,3.66667,2.33333,2.66667,0.33333,1.66667,1.66667
comp.graphics,4.0,3.0,4.5,4.5,4.0,4.0,4.5,4.5
misc.forsale,0.0,0.0,2.5,3.0,3.0,0.0,1.5,1.5
talk.religion.misc,0.33333,0.66667,1.0,1.33333,1.66667,0.33333,1.66667,2.0
sci.crypt,3.0,0.0,3.0,1.5,5.0,1.0,0.0,0.0
sci.crypt,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
rec.autos,4.0,3.0,3.0,3.0,2.0,2.0,5.0,4.5
comp.sys.mac.hardware,0.0,2.25,1.0,1.25,0.0,0.25,4.0,4.0
talk.politics.misc,0.66667,2.0,5.0,5.0,2.66667,0.66667,3.66667,3.33333
talk.politics.guns,4.0,0.66667,5.0,5.0,4.33333,3.66667,5.0,5.0
talk.religion.misc,1.0,0.66667,0.0,0.66667,0.66667,0.66667,0.0,0.0
rec.sport.baseball,5.0,1.0,3.66667,4.0,4.0,4.0,5.0,5.0
comp.os.ms-windows.misc,2.75,1.75,3.5,2.0,0.75,3.25,0.75,0.75
comp.os.ms-windows.misc,1.25,1.25,2.0,2.75,0.0,2.25,3.25,2.5
soc.religion.christian,5.0,4.33333,1.33333,2.33333,0.0,2.0,5.0,3.0
rec.autos,3.0,3.5,2.5,2.5,3.0,3.0,4.0,4.0
sci.med,0.5,0.5,1.5,1.0,2.0,2.0,5.0,5.0
talk.politics.misc,2.0,0.66667,4.66667,4.66667,0.66667,1.33333,1.33333,1.33333
talk.politics.guns,2.0,0.66667,3.33333,3.0,3.66667,0.33333,2.0,2.0
rec.autos,2.5,3.0,4.5,5.0,1.0,1.5,4.5,4.5
sci.electronics,4.5,1.0,4.0,3.5,3.0,4.5,5.0,5.0
